Date,Tasks,Category,Time,Task Code,Portfolio,Impact,Role Expectations,Notes, Sr. Director Comments
"November 25, 2025","1:1 (Michael, Lindsey)",Doer,1 hr,General Admin,S/I/A,Medium,Focus on the why and the what,"MH: 1:1 - Covered Loop 1:1 doc; Manager Diary; Master Experience Designer Training; Flexibility
Lindsey C 1:1 - Covered updates on SACP; I inqured on ""RBP Groups"" as Price Strategy changed that terminology when working with CMs - Enterprise Price Groups (EPG). I want to ensure we are communicating consistently across platforms.",
Nov 26 - 28,PTO & Holiday 🦃,,,,,,Other,,
Week of 12/01,,,,,,,,,
"December 1, 2025",MX PD Meeting (Survey),Facilitator,15 min,General Admin,MX/SC,Medium,Capacity multiplication,"Gina, Rob and I are seeking to continue the MX PD Meeting (including new SC PDs) We seek feedback on the value, cadence, and topics.",
"December 1, 2025",PD Mid-Year Review Surveys,Facilitator,1 hr,General Admin,S/I/A,Medium,Capacity multiplication,KTD did not conduct mid-year reviews. I along with other managers have created a short survey to request stakeholder feedback in order to mitigate recency bias and provide our associates with constructive feedback on their performance to date.,
"December 1, 2025",KTD PD Peer Pairing,Collaborator,30 min,General Admin,KTD,Medium,Build bridges not silos,"Introductory meeting with Amy Dalton as part of a PD Pairing Program in KTD. My hope is to connect more with Amy to help with my personal growth, but also in support with resources and training opportunities for PDs.",
"December 1, 2025",Admin: Email; Timesheets; Calendar clearing,Doer,30 min,General Admin,MX/SC,High,Capacity multiplication,Seeking to clear my calendar in order to focus this week and into the rest of the month. Timesheet Approval and tracking down timesheet info from Tyler; Email Read/Delete.,
"December 1, 2025",Assortment Leads Meeting,Collaborator,30 min,General Admin,Assortment,High,Focus on the why and the what,"Connecting with Jon and Rick on Budget, Strategy, Needs for Assortment.",
"December 1, 2025",Discovery Process,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,KTD,Medium,Focus on the why and the what,Reviewing discovery process and helping collate all the sourced content to help our teams define and document discovery and outcomes. Connecting with Liz Reed and Mary Deelsnyder this week.,
"December 1, 2025",Love + Work Training (PM),Doer,1.5 hr,Training — Corp / Personal Dev,KTD,¯\_(ツ)_/¯,Focus on the why and the what,"Started reading the book for Experience Design Training, Love + Work. First 30pgs, but also referenced Strengths Finder 2.0 & Strengths Based Leadership. I logged into Gallup to find my old reports.",
"December 2, 2025",Note: WFH - Winter Storm,,,,,,,,
"December 2, 2025",Love + Work Training (PM),Doer,30 min,Training — Corp / Personal Dev,KTD,¯\_(ツ)_/¯,Focus on the why and the what,"Started reading the book for Experience Design Training, Love + Work.",
"December 2, 2025",1:1 Nina - Getting Unstuck,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,"Nina is feeling ""stuck"" with work and WFA. I worked with her using some 5-whys and ""curious questions"" to help draw out where she is feeling stuck. We discussed pathways to help elevate her view, refocus on alternate work, or to help understand where she is stuck (pull in a PD partner, work on personal development, work on the 3-yr roadmap of WFA, and more.",
"December 2, 2025","""MX"" PD Leads connect",Collaborator,30 min,General Admin,MX/SC,Medium,Build bridges not silos,"Gina, Rob and I meet 2x a month to stay connected in our spaces across ""MX"". Topics: MX PD Meeting, Resource Planning, Individual or Team Support.",
"December 2, 2025",Misty / Tom - Item Connect,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,Discussing Item Roadmap; MXC > Switchboard found issue,
"December 2, 2025",Jessica Blackwell Connect,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,Working with Jessica on Strategic Planning & Ops for Product Delivery & OKRs. We also connect to help make more connections across MX/SC and KTD,
"December 2, 2025",Mindfuel - AI Connect,Doer,30 min,Training — Corp / Personal Dev,KTD,Medium,Personal or Professional Growth,AI > MCP Server Overview - Format of Mindfuel is to learn about Kroger advancements in using AI and how our teams can learn about tools we can use.,
"December 2, 2025",MX/SC Virtual Listening Session,Collaborator,1 hr,General Admin,MX/SC,Medium,Build bridges not silos,Sitting in on the Listening Session in hopes to understand the perspectives of other Associates across the Pillar.,
"December 2, 2025",Design Templates for Review and Questions,Collaborator,30 min,General Admin,MX/SC,Medium,Strategy documentation and communication,"Helping provide examples of templates our teams use for Problem and Solution Discovery, and Product Delivery",
"December 2, 2025",Product Board - Review,Doer,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,Focus on the why and the what,Reviewing [Design] Epics for teams in S/A/I. I have connected with Liz and inquired about a view of just my areas for easy access and review.,
"December 2, 2025",Steven Steiner - IME Discussion,Collaborator,30 min,¯\_(ツ)_/¯,Item,High,Focus on the why and the what,"Steven will be going on leave soon. This connect was to help understand the scope of his current workload, handoffs, and team needs while he is out.",
"December 3, 2025","""Discovery"" Discussion w/ Design Ops",Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,"Meeting with Liz Reed and Mary Deelsnyder to walk through the Problem Statement and current efforts in Item regarding Problem and Solution Discovery (Resources, References, Training, Consistency, Effectiveness)",
"December 3, 2025",1:1 Lia - Supplier Hub,Facilitator,30 min,General Admin,Supplier,Medium,Capacity multiplication,"Meeting with Lia Slaton - Weekly 1:1. Topics: ProductBoard, Discoveries; Personal Development",
"December 3, 2025",Assortment Analytics - Resourcing,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Direction not delivery,Setting up time to align resources to Assortment Analyics (PowerBi). The work is moving from Matt M > Andrew K. I have worked with Jeremy Harkins (PM) to help identify product & delivery needs and time estimates for a PD resource.,
"December 3, 2025",PD Team Charter,Collaborator,1 hr,General Admin,MX/SC,High,Strategy documentation and communication,Contributed to the Purpose Statement and the What (deliverables & activities) sections,
"December 3, 2025",1:1 David O - Item Watchtower,Facilitator,30 min,General Admin,Item,Medium,Focus on the why and the what,"Discusssing current workload, Effort Estimation & Product Board, Needs & Blockers",
"December 3, 2025",Love + Work Training (PM),Doer,,Training — Corp / Personal Dev,KTD,Medium,Capacity multiplication,Continue reading the book Love + Work,
"December 3, 2025",Assortment Stakeholder Map,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Strategy documentation and communication,Jon is working on a stakeholder map as a communication tool. Contributed design and content feedback,
"December 4, 2025",Item Stakeholder Map,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,"Starting from the map from Jon, I am creating a similar visual for Item to work with Emilia and Misty. I have started working with Misty as this will be a big value for viewing our space and make sure we are aligned with our users, stakeholders, and exec sponsors.",
"December 4, 2025",1:1 - Michelle P. - Switchboard,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,Topics: Support Michelle in an ongoing Modality topic & PM Partnership; Mid-Year Review; MyInfo Updates; Discovery Proposal.,
"December 4, 2025",Item Portfolio Review $$$,Doer,30 min,General Admin,Item,¯\_(ツ)_/¯,Finance and Accounting,Review current P10 Forecast and Budget. We had an initial review of the Investment to Value report. I did mention to the group that PD will be contributing to that report based on upcoming Jira Training and our [Design] Epics in Product Board.,
"December 4, 2025",Q3 OKR Retro,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,Retro with Item Team on how the Q3 OKR Planning and format aided (or hindered) OKR Planning. Next steps discuss a more refined approach (simplify).,
"December 4, 2025",Note: 1/2 Day PM - H&W,,,,,,,,
"December 5, 2025",Review Associate Cost Center for 2026 Budget,Doer,15 min,General Admin,S/I/A,Medium,Finance and Accounting,Reviewed and confirmed with Adam Shaw the Associate information for 2026 Budget,
"December 6, 2025",Experience Design Training,Doer,1 hr,General Admin,KTD,Medium,Personal or Professional Growth,Continue reading the book Love + Work,
"December 6, 2025",Add PD Template Files,Doer,15 min,General Admin,MX/SC,High,Strategy documentation and communication,Added more files to submit for review (figma docs),
"December 6, 2025",Assortment Portfolio Review,Doer,30 min,General Admin,Assortment,Medium,Finance and Accounting,Review Assortment's Forecast for P10.,
"December 6, 2025","1:1 Jerad, Miranda, Nina",Facilitator,1 hr,General Admin,Item,High,Capacity multiplication,"Topics: ...
Jerad: Sath & IME; Research w/Tracy for IME; Book - Irresistable Change.
Nina:
Miranda: ...",
"December 6, 2025",Discovery Planning for Item UPCs w/ Misty,Collaborator,2 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Pre-plan discovery for UPCs. Problem Statement; Needs & Outcomes. I set up a mural; sourced background research; and will assist Misty in making connections in the KSSC.,
"December 6, 2025",Item - Team Mapping; Item Setup Discovery w/Emilia,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Working with Emilia to map how our PDs map to Experiences and Data Teams. This will help to align or find resources to support Discovery and 3-legged partnerships.,
"December 5, 2025","""Lunch w/Pischl"" - Group meeting across Teams",Collaborator,30 min,General Admin,S/I/A,Low,Build bridges not silos,"Jon hosts a weekly meeting over lunch - open invite where we discuss topics in our space, lean on each other for questions and support. Today was regarding past work with CSD Team and Nick H.",
"December 6, 2025",Support ask from Sam - CSD Team,Doer,15 min,General Admin,S/I/A,¯\_(ツ)_/¯,Strategy documentation and communication,"Sam is inquiring on past work from Nick Hawes. I dug into background Loops, supplied references and connected her with Rob Sloan.",
Week of 12/08,,,,,,,,,
"December 8, 2025",Training: Experience Designer,Doer,8 hr,General Admin,KTD,High,Personal or Professional Growth,Initial training on content. Store walk & shop challenge; Presentation from our findings.,
"December 8, 2025","Admin (timesheets, Emails, Team support)",Doer,1 hr,General Admin,S/I/A,Medium,Direction not delivery,Review / Approve Timesheets; Emails; Answer team member questions.,
"December 9, 2025",Training: Experience Designer,Doer,4 hr,General Admin,KTD,High,Personal or Professional Growth,Present to the group; Final training material & Next steps. Continue with chapters in the book Love + Work.,
"December 9, 2025",Item Pre-Discovery,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,"Continued pulling resources (background, context, outcomes, use cases) for the UPC Change Discovery; email to stakeholder for user ""experts"" for research/discovery.",
"December 9, 2025",1:1 Lindsey,Facilitator,45 min,General Admin,Assortment,High,Capacity multiplication,Discusss SACP; Lindsey also has thoughts and concerns from the Town Hall she needed to discuss.,
"December 9, 2025",1:1 Rob M,Collaborator,15 min,General Admin,MSCX,High,Capacity multiplication,"Rob discussing team/org changes, I gained some perspective from the town hall.",
"December 9, 2025",3rd Party App - Panel & Topic,Collaborator,30 min,General Admin,KTD,High,Focus on the why and the what,"Intro discussion with Sarah and Michael on 3rd Party apps and the role of UR & PD. Next steps working with Sarah on a plan, presentation for Mindy.",
"December 10, 2025",ITEM UPC Change Discovery,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Reached out to Tracy Jerard for context of research she is conducting on PID which the UPC Change process came up. Adding references to Mural.,
"December 10, 2025",S/I/A - Team Meeting Planning,Facilitator,30 min,General Admin,S/I/A,Medium,Capacity multiplication,Meeting agenda; Mural w/ Activities for Team,
"December 10, 2025",Item Research - Emilia / Tom / Tracy,Facilitator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Build bridges not silos,Connecting Emilia with Tracy regarding research conducted in Item Data. Emilia has concerns her team is working without background or support from research.,
"December 10, 2025",1:1 - Lia S,Facilitator,30 min,General Admin,Supplier,High,Focus on the why and the what,"Discuss current Discovery on Supplier Hub, Current growth and Development. Support Needs.",
"December 10, 2025",IME Hierarchy Sprint Review,Doer,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Overview of Sprint X for IME Hierarchy,
"December 10, 2025",Stakeholder Maps S/I/A,Enabler,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,Strategy documentation and communication,Working on updated stakeholder maps for S/I/A Portfolios. I am modifying a template from Jon P and having my team leads and PMs support the addition of references.,
"December 10, 2025",1:1 Beth Gray,Facilitator,30 min,General Admin,MSCX,Medium,Build bridges not silos,Beth and I retain a connection from both a former manager and ability to connect our portfolios and teams.,
"December 10, 2025",1:1 Colin J,Facilitator,30 min,General Admin,Item,Medium,Capacity multiplication,Topics: Family Tree WIP; Support Needs,
"December 10, 2025",KOMPASS WFA Sprint Review,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Focus on the why and the what,"Sprint Review - Understand progress, next steps and PD Support needs
Pulled sample from agenda:
- Calendar Modify/Delete/Publish designs (Nina, 5 mins)
Program status update (Alicia, 5 mins)-",
"December 10, 2025",Sam / Tom - Connect,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Focus on the why and the what,1:1 with Sam - I do have questions to run past her on the Discovery work that Emilia and Misty have proposed. Gain her perspective and review a mural I set up.,
"December 10, 2025",Assortment Leads Meeting,Collaborator,30 min,General Admin,Assortment,Medium,Build bridges not silos,"DIscuss team needs and updates across the space. (Launchpad - new, SACP, WFA, SFP)",
"December 10, 2025",Mid-Year Reviews - Review Feedback,Doer,30 min,General Admin,S/I/A,Medium,Capacity multiplication,Pulling feedback for team members. Assessing feedback and reaching out to those I am still seeking feedback for team members.,
"December 11, 2025",Item x SACP - Collab/Overview,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Build bridges not silos,Discuss the opportunity for a workflow/connection between data of SACP and Item Setup.,
"December 11, 2025",Overview & Stakeholder Maps,Doer,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Strategy documentation and communication,Updating documentation based on conversations between SACP & Item,
"December 11, 2025",MSCX - Town Hall,Collaborator,45 min,General Admin,MSCX,Medium,Build bridges not silos,Attendee and chat contributor to answer questions,
"December 11, 2025",Item Roadmap Meeting,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Weekly Roadmap Review of all the activities in Item.,
"December 11, 2025",1:1 Leo - Mentorship,Facilitator,30 min,Training — Corp / Personal Dev,MSCX,High,Personal or Professional Growth,"Topics: Role & Responsibilities, His focus, Concerns, Connection with others in KTD",
"December 11, 2025",Discovery Process for Item and Item Data,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Working with Emilia on our Discovery Overview to provide guidance for team members in Item - See confluence link,
"December 11, 2025",Connect with Product Ops / Strategy - Megan Bogenschutz,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MSCX,High,Build bridges not silos,Connecting with Megan on Knowledge gateway and our artifacts and documents.,
"December 11, 2025",Finance Discussion,Facilitator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Finance and Accounting,based on the roadmapping call we found contractors might not be billed to the right funding sources. Making adjustments.,
"December 11, 2025",1:1 Gina,Collaborator,30 min,General Admin,MSCX,Medium,,,
"December 12, 2025",Discovery Doc in Confluence,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,Strategy documentation and communication,Created a template in Confluence. This will become a global template as a guide for teams in Item to kick-off discovery. Michael we should discuss.,
"December 12, 2025",Template review with Design Ops & PD Managers,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MSCX,High,Strategy documentation and communication,Group discussion on documents and artifacts - aligned on a few Priority 1 examples,
"December 12, 2025",1:1 Sarah,Collaborator,30 min,General Admin,S/I/A,High,Focus on the why and the what,"Connect on Research, Tracy, Needs in S/I/A",
"December 12, 2025",1:1 Zach Thomas,Facilitator,30 min,General Admin,MSCX,Medium,Personal or Professional Growth,"Connected with Zach - he used to report to me. We discussed his new move, and work that he is doing.",
"December 12, 2025",Connect - Andrew Kohls,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Capacity multiplication,Topics: PowerBi and Venus. Andrew updating on progress and support needs (task code),
"December 12, 2025",Team Holiday Event,Collaborator,1.5 hr,General Admin,MSCX,¯\_(ツ)_/¯,Build bridges not silos,Secret Santa Team Culture Event,
"December 12, 2025",Miranda B - SNAP check-in,Facilitator,15 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Capacity multiplication,"Supporting Miranda, understand what needs she may have during some tough SNAP challenges.",
"December 12, 2025",1:1 Nina,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,"Topics: WFA; Launchpad, asked about what she loved this week, loathed, support needs.",
"December 12, 2025",Item Attributes - Mapping,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,Misty is seeking some mapping of Item attributes needed to move and item through different parts of it's lifecycle. meeting to understand - see what support she may need or if the work fits in with antother team mapping all the maps 😩,
Week of 12/15,,,,,,,,,
"December 15, 2025",SNAP Call,Collaborator,1 hr,Capital Expenses — The Work/Flows/Prototype,Item,Low,Direction not delivery,New data model in Production and Smoke Test SNAP eligibility with effective dates. Supporting the team as they roll this out.,
"December 15, 2025",3rd Party Application Panel - working time,Collaborator,30 min,¯\_(ツ)_/¯,KTD,Medium,Capacity multiplication,Collaborate with Sarah on the presentation for 3rd Party Experiences. Made big progress - excited for how it is coming together.,
"December 15, 2025",Misty / Tom - Discovery; Mapping,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,worked with Misty to make updates on our mural prior to meeting with the broader team.,
"December 15, 2025",Assortment Leads Connect,Collaborator,15 min,General Admin,Assortment,High,Focus on the why and the what,Quick touchbase with Jon and Rick - Topic: I raised changes in Cost to ensure that we are not impacted for Cost/Margin data needs for SACP.,
"December 15, 2025",Item Attribution Work - Stakeholder Touch Base,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Business Stakeholder review of Item Attribution work and Sciences from 84.51º,
"December 15, 2025",UPC Change Discovery,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,UPC / Product ID Discovery Kickoff. We determined a gap immediately. We are adjusting the Discovery to conduct research and map the experiences by different business users.,
"December 15, 2025",Admin - Timesheet; ...,Doer,30 min,General Admin,S/I/A,High,Finance and Accounting,Approve Time / Manage time for New Task Codes for Andrew (work with OneView),
"December 15, 2025",Michelle P - Promo Reco,Doer,30 min,General Admin,Assortment,High,Capacity multiplication,Revising the promotion recommendation for Michelle Park. We have been pushing for this promotion for a while ...,
"December 16, 2025",Admin - Cascade: Jira,Doer,15 min,General Admin,S/I/A,High,Focus on the why and the what,Cascade upcoming Jira info and training to the S/I/A team. Answer questions that came up.,
"December 16, 2025",Design Ops - Office Hours,Doer,45 min,Training — Corp / Personal Dev,MX/SC,High,Personal or Professional Growth,I have questions about managing product board and how stories equate to $ investment to delivery. Follow-ups with Team member questions.,
"December 16, 2025",KTD Navigating Change,Doer,45 min,General Admin,KTD,¯\_(ツ)_/¯,Personal or Professional Growth,Attending for 2 topics - AI; Dev Day Updates;,
"December 16, 2025",1:1 Miranda - SNAP,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,Connect with Miranda on SNAP Updates and how she is doing and support needs,
"December 16, 2025",Design Ops / PD Leads Connect,Collaborator,1 hr,Training — Corp / Personal Dev,KTD,Medium,Strategy documentation and communication,,
"December 16, 2025",Item UPC / Product ID - Discovery,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Continuation of Discovery for Item UPC,
"December 17, 2025",L&D Day: Training,Doer,1 hr,Training — Corp / Personal Dev,KTD,High,Personal or Professional Growth,"AI Drivers License
Love + Work - Reading (Experience Design)
Jira & Agile - Coursera Course (refresher)
Investment to Delivery Reporting: Connecting Technology Investments to Delivered Work",
"December 17, 2025",Cognizant Meeting,Doer,15 min,General Admin,S/I/A,Low,Build bridges not silos,Cognizant works in our Supplier area and has also supported Offers. Greg reached out to maintain the connection.,
"December 17, 2025",1:1 - Lia,Facilitator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Supplier,Medium,Focus on the why and the what,"Topics: L&D; Supplier Hub Discovery (OOUX); Support Needs, and Discovery Wins!",
"December 17, 2025",1:1 - Chris Dickow (Eng),Collaborator,30 min,General Admin,Item,High,Build bridges not silos,Chris is within Item Data & Publishing - we are seeking to make better connections across our areas and find better ways to plan and prioritize our work.,
"December 17, 2025",Finance and Accounting,Collaborator,15 min,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Finance and Accounting,Working with Tyler and Courtney to ensure a contractor's SOW is attributed to the right funding source (KFN Ocado),
"December 17, 2025",YE Feedback Requests,Doer,30 min,General Admin,KTD,High,Focus on the why and the what,submitting a few feedback requests as they start to flood my inbox. Supporting our associates with actionable feedback to support the What and How of how they have contributed in '25.,
"December 17, 2025",Sam - Connect on Item Data,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Discussing and seeking context on some journey asks from a pm in Item.,
"December 17, 2025",Connect - Steven Steiner,Collaborator,45 min,General Admin,Item,High,Strategy documentation and communication,Discuss with Steven his IME work handoff deck as he goes on a 4-week parental leave. We discussed other work he is doing outside of IME. Discussed a presentation he is working on with David S for Vicki - IME/Modernization Story.,
"December 17, 2025",1:1 - Lindsey - SACP,Facilitator,30 min,General Admin,Assortment,Medium,Focus on the why and the what,Topics: SACP; Mid/YE Reveiew; L&D Day,
"December 18, 2025",Launchpad Discussion - Assortment Team,Facilitator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Direction not delivery,"Launchpad is kicking off in Q1 - We are at a capacity issue on the team. I am working with Nina, Rob, Jay Leary on What is planned and Why? Expectations for Q1. Team Capacity. Knowns, Unknowns, and Concerns. Planning for Design Capacity in Jan/Early Feb.",
"December 18, 2025",Item Q1 OKR Planning Kickoff,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,"Q1 Kickoff - Plan, Topics, Shared PDs that support or are on product teams in Item with Agile Delivery to ensure PDs are a part of the OKR Process.",
"December 18, 2025",1:1 Megan Richter,Collaborator,30 min,General Admin,KTD,Medium,Build bridges not silos,Maintaining mentorship connection - Connect on MSCX > CX Connections in the work.,
"December 18, 2025",1:1 Michelle Park - Switchboard,Facilitator,30 min,General Admin,Assortment,High,Focus on the why and the what,Michelle walked me through a user qualitative study she is working on based on a recent incident with Alcohol sales.,
"December 18, 2025",Discovery w/ Emilia (item),Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,standup with Emilia on the template checklist we are working on for Discovery. We provided updates on progress and next steps when we return from the Holidays.,
"December 19, 2025","PTO & Holidays
(Dec 19 - Jan 1)",,,General Admin,,,,,
"January 1, 2026",Holiday,,,General Admin,,,,,
"January 2, 2026",Review: Item Data Templates & Profiles ​,Collaborator,1.5 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,"Reviewing the Item Data Templates Discovery Overview by Sam Uhling and Mary Ewaldt. Reviewing the Discovery Template usage, but also the overview of the work within the Item Experience space.",
